step,mean_R,mean_W,var_R,var_W,mean_grad_R,max_R,max_W,min_R,min_W,alive_count,total_energy,mean_energy,mean_velocity,foraging_efficiency,wall_time_ms,fps_proxy
0,0.07843122,0,0.027450576,0,0.01206671,1.390625,0,0,0,2000,2000,1,0.3028682,3.3017664,12,83.33333333333333
50,0.17673084,0.000027730817,0.027349925,0.0000000059671956,0.012042121,1.4882813,0.0004479885,0.09887695,0,2000,2000,1,0.3028682,3.3017664,8,125
100,0.27435398,0.000054640146,0.027348898,0.000000023377059,0.012041131,1.5859375,0.000916481,0.1965332,0,2000,2000,1,0.3028682,3.3017664,11,90.9090909090909
150,0.3719691,0.000081501574,0.02735652,0.000000052192238,0.012041882,1.6835938,0.0013837814,0.29418945,0,2000,2000,1,0.3028682,3.3017664,8,125
200,0.4696067,0.0001083836,0.027390242,0.00000009246459,0.012040917,1.78125,0.0018510818,0.3918457,0,2000,2000,1,0.3028682,3.3017664,11,90.9090909090909
250,0.5672101,0.00013523453,0.027413726,0.00000014412416,0.012043848,1.8789063,0.0023117065,0.48950195,0,2000,2000,1,0.3028682,3.3017664,9,111.11111111111111
300,0.66480625,0.00016214297,0.027325094,0.0000002073488,0.012045661,1.9765625,0.0027885437,0.58691406,0,2000,2000,1,0.3028682,3.3017664,11,90.9090909090909
350,0.76245546,0.0001890258,0.027388275,0.00000028195578,0.01204407,2.0742188,0.0032539368,0.6845703,0,2000,2000,1,0.3028682,3.3017664,9,111.11111111111111
400,0.8601028,0.00021589617,0.027404606,0.0000003679465,0.012041823,2.171875,0.0037078857,0.78222656,0,2000,2000,1,0.3028682,3.3017664,11,90.9090909090909
450,0.95774114,0.00023844469,0.027397156,0.0000004490068,0.012040081,2.2695313,0.0041236877,0.8798828,0,2000,2000,1,0.3028682,3.3017664,9,111.11111111111111
500,1.0552833,0.0002599871,0.027430773,0.00000053396883,0.0120442,2.3671875,0.004497528,0.97753906,0,2000,2000,1,0.3028682,3.3017664,12,83.33333333333333
550,1.1528518,0.00028151638,0.027632117,0.0000006262304,0.012046871,2.4648438,0.004875183,1.0751953,0,2000,2000,1,0.3028682,3.3017664,8,125
600,1.2504694,0.0003030364,0.027621865,0.0000007257566,0.012046683,2.5625,0.005252838,1.1728516,0,2000,2000,1,0.3028682,3.3017664,11,90.9090909090909
